6211
0 45 90
0 46 89
0 47 88
0 48 87
0 49 86
0 50 85
0 51 84
0 52 83
0 53 82
0 54 81
0 55 80
0 56 79
0 57 78
0 58 77
0 59 76
0 60 75
0 61 74
0 62 73
0 63 72
0 64 71
0 65 70
0 66 69
0 67 68
0 68 67
0 69 66
0 70 65
0 71 64
0 72 63
0 73 62
0 74 61
0 75 60
0 76 59
0 77 58
0 78 57
0 79 56
0 80 55
0 81 54
0 82 53
0 83 52
0 84 51
0 85 50
0 86 49
0 87 48
0 88 47
0 89 46
0 90 45
1 44 90
1 45 89
1 46 88
1 47 87
1 48 86
1 49 85
1 50 84
1 51 83
1 52 82
1 53 81
1 54 80
1 55 79
1 56 78
1 57 77
1 58 76
1 59 75
1 60 74
1 61 73
1 62 72
1 63 71
1 64 70
1 65 69
1 66 68
1 67 67
1 68 66
1 69 65
1 70 64
1 71 63
1 72 62
1 73 61
1 74 60
1 75 59
1 76 58
1 77 57
1 78 56
1 79 55
1 80 54
1 81 53
1 82 52
1 83 51
1 84 50
1 85 49
1 86 48
1 87 47
1 88 46
1 89 45
1 90 44
2 43 90
2 44 89
2 45 88
2 46 87
2 47 86
2 48 85
2 49 84
2 50 83
2 51 82
2 52 81
2 53 80
2 54 79
2 55 78
2 56 77
2 57 76
2 58 75
2 59 74
2 60 73
2 61 72
2 62 71
2 63 70
2 64 69
2 65 68
2 66 67
2 67 66
2 68 65
2 69 64
2 70 63
2 71 62
2 72 61
2 73 60
2 74 59
2 75 58
2 76 57
2 77 56
2 78 55
2 79 54
2 80 53
2 81 52
2 82 51
2 83 50
2 84 49
2 85 48
2 86 47
2 87 46
2 88 45
2 89 44
2 90 43
3 42 90
3 43 89
3 44 88
3 45 87
3 46 86
3 47 85
3 48 84
3 49 83
3 50 82
3 51 81
3 52 80
3 53 79
3 54 78
3 55 77
3 56 76
3 57 75
3 58 74
3 59 73
3 60 72
3 61 71
3 62 70
3 63 69
3 64 68
3 65 67
3 66 66
3 67 65
3 68 64
3 69 63
3 70 62
3 71 61
3 72 60
3 73 59
3 74 58
3 75 57
3 76 56
3 77 55
3 78 54
3 79 53
3 80 52
3 81 51
3 82 50
3 83 49
3 84 48
3 85 47
3 86 46
3 87 45
3 88 44
3 89 43
3 90 42
4 41 90
4 42 89
4 43 88
4 44 87
4 45 86
4 46 85
4 47 84
4 48 83
4 49 82
4 50 81
4 51 80
4 52 79
4 53 78
4 54 77
4 55 76
4 56 75
4 57 74
4 58 73
4 59 72
4 60 71
4 61 70
4 62 69
4 63 68
4 64 67
4 65 66
4 66 65
4 67 64
4 68 63
4 69 62
4 70 61
4 71 60
4 72 59
4 73 58
4 74 57
4 75 56
4 76 55
4 77 54
4 78 53
4 79 52
4 80 51
4 81 50
4 82 49
4 83 48
4 84 47
4 85 46
4 86 45
4 87 44
4 88 43
4 89 42
4 90 41
5 40 90
5 41 89
5 42 88
5 43 87
5 44 86
5 45 85
5 46 84
5 47 83
5 48 82
5 49 81
5 50 80
5 51 79
5 52 78
5 53 77
5 54 76
5 55 75
5 56 74
5 57 73
5 58 72
5 59 71
5 60 70
5 61 69
5 62 68
5 63 67
5 64 66
5 65 65
5 66 64
5 67 63
5 68 62
5 69 61
5 70 60
5 71 59
5 72 58
5 73 57
5 74 56
5 75 55
5 76 54
5 77 53
5 78 52
5 79 51
5 80 50
5 81 49
5 82 48
5 83 47
5 84 46
5 85 45
5 86 44
5 87 43
5 88 42
5 89 41
5 90 40
6 39 90
6 40 89
6 41 88
6 42 87
6 43 86
6 44 85
6 45 84
6 46 83
6 47 82
6 48 81
6 49 80
6 50 79
6 51 78
6 52 77
6 53 76
6 54 75
6 55 74
6 56 73
6 57 72
6 58 71
6 59 70
6 60 69
6 61 68
6 62 67
6 63 66
6 64 65
6 65 64
6 66 63
6 67 62
6 68 61
6 69 60
6 70 59
6 71 58
6 72 57
6 73 56
6 74 55
6 75 54
6 76 53
6 77 52
6 78 51
6 79 50
6 80 49
6 81 48
6 82 47
6 83 46
6 84 45
6 85 44
6 86 43
6 87 42
6 88 41
6 89 40
6 90 39
7 38 90
7 39 89
7 40 88
7 41 87
7 42 86
7 43 85
7 44 84
7 45 83
7 46 82
7 47 81
7 48 80
7 49 79
7 50 78
7 51 77
7 52 76
7 53 75
7 54 74
7 55 73
7 56 72
7 57 71
7 58 70
7 59 69
7 60 68
7 61 67
7 62 66
7 63 65
7 64 64
7 65 63
7 66 62
7 67 61
7 68 60
7 69 59
7 70 58
7 71 57
7 72 56
7 73 55
7 74 54
7 75 53
7 76 52
7 77 51
7 78 50
7 79 49
7 80 48
7 81 47
7 82 46
7 83 45
7 84 44
7 85 43
7 86 42
7 87 41
7 88 40
7 89 39
7 90 38
8 37 90
8 38 89
8 39 88
8 40 87
8 41 86
8 42 85
8 43 84
8 44 83
8 45 82
8 46 81
8 47 80
8 48 79
8 49 78
8 50 77
8 51 76
8 52 75
8 53 74
8 54 73
8 55 72
8 56 71
8 57 70
8 58 69
8 59 68
8 60 67
8 61 66
8 62 65
8 63 64
8 64 63
8 65 62
8 66 61
8 67 60
8 68 59
8 69 58
8 70 57
8 71 56
8 72 55
8 73 54
8 74 53
8 75 52
8 76 51
8 77 50
8 78 49
8 79 48
8 80 47
8 81 46
8 82 45
8 83 44
8 84 43
8 85 42
8 86 41
8 87 40
8 88 39
8 89 38
8 90 37
9 36 90
9 37 89
9 38 88
9 39 87
9 40 86
9 41 85
9 42 84
9 43 83
9 44 82
9 45 81
9 46 80
9 47 79
9 48 78
9 49 77
9 50 76
9 51 75
9 52 74
9 53 73
9 54 72
9 55 71
9 56 70
9 57 69
9 58 68
9 59 67
9 60 66
9 61 65
9 62 64
9 63 63
9 64 62
9 65 61
9 66 60
9 67 59
9 68 58
9 69 57
9 70 56
9 71 55
9 72 54
9 73 53
9 74 52
9 75 51
9 76 50
9 77 49
9 78 48
9 79 47
9 80 46
9 81 45
9 82 44
9 83 43
9 84 42
9 85 41
9 86 40
9 87 39
9 88 38
9 89 37
9 90 36
10 35 90
10 36 89
10 37 88
10 38 87
10 39 86
10 40 85
10 41 84
10 42 83
10 43 82
10 44 81
10 45 80
10 46 79
10 47 78
10 48 77
10 49 76
10 50 75
10 51 74
10 52 73
10 53 72
10 54 71
10 55 70
